text,label,responseLabel_media
"Developed by the departments of energy, transportation, housing and urban development, and the environmental protection agency, the plan identifies the deployment of zero emission vehicles and fuels as the most meaningful drivers to decarbonize the sector, including all modes of transporting people and goods by land, air and sea.",Opportunity,positive
"The blueprint focuses on each major transportation mode, including light duty vehicles (ldvs) and medium- & heavy-duty trucks and buses (mhdvs), which account for 49% and 21% of transportation emissions, respectively, noting that achieving 2050 net zero emissions goals will require transitioning new ldv sales to zero emission vehicles (zevs) by the mid-2030s, and then rapidly replacing the existing stock of fossil-based vehicles with zevs, while mhdv solutions will need to be broader, given the variety of types and uses of the vehicles. key actions for these areas under the blueprint include the implementation of policies and regulations to expand the market share and use of evs, investments in ev charging infrastructure, funding research and innovation to improve vehicle, battery and charger performance, and for technologies to replace mhdv fossil fuel vehicles.",Opportunity,positive
"Dubai-based airline emirates announced plans to conduct its first experimental flight using 100% sustainable aviation fuel (saf) in one engine this week, in a test aimed at supporting expanded use of saf for commercial flights.",Opportunity,positive
"The planned flight will follow the successful completion earlier this week of ground engine testing of a ge90 engine on a 777-300er using 100% saf, aimed at demonstrating the capability of the engine to run on 100% saf without affecting performance requiring modifications to the aircraft systems, or special maintenance procedures on the aircraft.",Opportunity,positive
"Global money management firm putnam investments announced the launch of a series of new actively managed exchange traded funds (etfs), including three fixed income and two non-u.s. equity strategies.",Opportunity,positive
"Nathan shuchami, managing partner at hyperwise ventures, said: 
“we are proud to be a part of this much-needed revolution in the data center industry, and look forward to working closely with yuval and his team as they bring this peerless innovation to market. ecl has a long lead on the competition in the delivery of a data center powered primarily by green hydrogen and we can’t wait to stand with them as they raise the curtain in q2 2023.”",Opportunity,positive
"Energy services and infrastructure company vinci energies announced today the completion of a €15 million investment in integrated hydrogen mobility platform and hydrogen taxi fleet operator, hype.",Opportunity,positive
Fifth wall stated that mcgeory will work collaboratively with the firm’s strategic investors to expedite their climate commitments.,Opportunity,positive
"Pnc financial services group announced today a commitment to facilitate $30 billion of environmental finance, significantly increasing prior target of $20 billion over 5 years.",Opportunity,positive
"Pnc announced its initial goal in august 2021, supporting projects including green buildings, renewable energy and clean transportation. pnc revealed that since establishing its goal, it has already completed $9 billion in environmental financing for its customers.",Opportunity,positive
"Michael p. lyons, head of corporate & institutional banking, said: 
“pnc continuously assesses ways in which we, as a financial institution, can support our clients’ ambitions as they work toward their own climate transition goals. the expansion of our environmental finance commitment is a natural next step as client demand increases.”",Opportunity,positive
"Sustainability-linked debt has been one of the fastest growing areas of sustainable finance, with attributes including interest payments tied to an issuer’s achievement of specific sustainability targets. corporate interest in sustainability-linked loans has grown rapidly, as the financing provides flexibility to use proceeds for general corporate purposes, while with instruments such as green bonds, raised funds can only be allocated to specific categories of green projects.",Opportunity,positive
"Sk hynix’s issuance follows a €1 billion issuance earlier this week by air france-klm, which also saw strong demand, drawing an orderbook of €2.6 billion.",Opportunity,positive
Danone stated that it expects to remove 1.2 million tons of carbon dioxide equivalent of methane emissions by 2030.,Opportunity,positive
"The green plan is supported by singapore’s greengov.sg initiative, which includes public sector sustainability commitments, such as peaking carbon emissions around 2025, requiring government agencies to purchase products that meet high efficiency or sustainability standards, and considering companies’ sustainability-related policies and practices when evaluating government tenders.",Opportunity,positive
"The company said that the engine showed very good characteristics in terms of efficiency, performance, emissions and combustion in the test, and that with green hydrogen, the mtu engines can be operated in a carbon neutral manner in the future.",Opportunity,positive
"Following the successful test, rolls-royce said that has already planned the first installation of mtu engines running on 100% hydrogen as part of the enerport ii project in the german port of duisburg, which aims to be first container terminal to run on hydrogen on a completely climate-neutral basis.",Opportunity,positive
"The capital raise was led by climate-focused investors including by evok innovations and bdc capital’s climate tech fund, and included participation from existing investors xora innovation and capricorn investment group. several other new climate-focused investors joined the capital raise, including volta energy technologies, ngp, helios climate ventures, and the grantham foundation.",Opportunity,positive
"Cheri corbett, senior partner of bdc capital’s climate tech fund, said: 
“batteries will play an increasingly important role in decarbonizing our economy. we believe that summit has the right technology to ensure that lithium mining is done in both a responsible and sustainable manner.”",Opportunity,positive
"Sandahl said: 
“i’m very happy to have been given the trust to lead the work in this important area. i look forward to working with colleagues, customers and the broader community in further developing nordea’s climate transition plan and executing on our goals and commitments.”",Opportunity,positive
"Global consumer brands and industrial products company henkel announced today an agreement with shell to replace up to 200,000 tonnes of fossil-based ingredients for its laundry products with renewable feedstocks.",Opportunity,positive
"The companies estimate that the five-year agreement will result in greenhouse gas emissions (ghg) reductions of up to 120,000 tonnes.",Opportunity,positive
"The council stated that the proposals form part of efforts to prevent greenwashing, or the mischaracterization or exaggeration of the sustainability characteristics and attributes of financial products and services.",Opportunity,positive
"Under this definition, products that are aimed at reducing esg risk, without pursuing a specific sustainability goal, will not qualify for a sustainable label.",Risk,negative
"The awards were made from the uk’s £165 million advanced fuels fund, aimed at supporting the development of saf production plants in the uk. the fund was launched alongside the uk’s “jet zero” strategy this year, its plan to achieve net zero aviation by 2050. the strategy aims to reduce emissions from aviation by more than 60% by 2050, and envisions 2019 as the peak year for the sector’s emissions.",Opportunity,positive
"Guilbeault said: 
“zero-emission vehicles are where the rubber hits the road for cost-conscious canadians who want to help the environment while getting off the roller-coaster of high gasoline prices.”",Opportunity,positive
"In addition to the 2035 target, canada also introduced a series of interim zev sales mandates, requiring zevs to make up 20% of new vehicle sales by 2026, and 60% by 2030. according to a government statement, the targets are aimed at helping increase zev supply for consumers.",Opportunity,positive
"Pharmaceutical giant pfizer announced today a major expansion of its initiative to provide medicines and vaccines on a not-for-profit basis in lower-income countries, to now include its full portfolio of approximately 500 products.",Opportunity,positive
"Investment management firm fidelity announced today the launch of a new social impact initiative, invest in my education (me), aimed at providing access to education and support for black, latinx, and historically underserved students.",Opportunity,positive
"The program will initially launch in three regions, including boston, raleigh/durham and dallas/fort worth, with the first cohort of students to be identified this summer.",Opportunity,positive
"Fidelity stated that engaged with several strategic partners, including uncf, to inform the initiative’s work, and to connect resources with the students and communities most in need.",Opportunity,positive
"S&p global sustainable1 and the un environment programme (unep) announced today the launch of nature risk profile, a new methodology aimed at enabling companies and investors to assess and analyze companies’ nature-related risks, including impacts and dependencies on biodiversity.",Opportunity,positive
"Companies are also facing increasing pressure to assess and report on nature and biodiversity-related issues, with new disclosure systems emerging such as the taskforce on nature-related financial disclosures (tnfd), currently under development. in december, the international sustainability standards board (issb) of the ifrs foundation announced plans to add requirements for companies to provide transparency on impacts and risks related to natural ecosystems to its climate-related disclosure standard, with a particular focus on the tnfd’s work.",Risk,positive
"Neville ash, director of unep world conservation monitoring centre, said: 
“the methodology provides a major step forward to deliver the actions required for transformative change and support the finance sector’s critical contribution to delivering the ambitions of the kunming-montreal global biodiversity framework. this methodology links science, policy and finance to bring nature to the heart of financial decision-making.”",Opportunity,positive
"Riggle said: 
“the formal establishment of this joint venture between lg energy solution and honda to produce ev batteries in ohio is another major step toward our electrified future. we are excited to move forward with such a strong partner in lg energy solution and, together, we look forward to establishing a strong relationship with the community in fayette county, ohio.”",Opportunity,positive
"Lee said: 
“lg energy solution has all the right assets to make this joint venture a success, including the financial stability, quality, competitiveness, and production capacity with global operational expertise. with two companies’ expertise combined, we will provide top quality batteries to ensure the successful launch of honda evs in north america, and grow with the community here in ohio by creating high value jobs.”",Opportunity,positive
"Telecom giant verizon announced a series of new long-term renewable energy purchase agreements (repas), adding 410 megawatts (mw) of renewable energy from new facilities across the u.s.",Opportunity,positive
"The new agreements bring verizon’s projected renewable energy capacity to more than 3gw, enough to power more than 707,000 homes for a year, and position the company to meet its goal to source or generate renewable energy equivalent to 50% of its total annual electricity consumption by 2025.",Opportunity,positive
"The agreements include two deals with ivenergy combining up to 240 mw of renewable energy capacity in the electric reliability council of texas (ercot) regional market and the southwest power pool (spp) regional market, a 12-year agreement with enel north america for up to 100 mw of capacity from a wind facility in the spp market, and an additional agreement for up to 70 mw of anticipated capacity from a facility located in the pennsylvania jersey maryland (pjm) interconnection regional market.",Opportunity,positive
The announcement follows verizon’s issuance last year of its fourth $1 billion green bond.  verizon has allocated billions from green bond offerings over the past few years to scale up its use of renewable energy.,Opportunity,positive
"Matt ellis, executive vice president and chief financial officer at verizon, said: 
“we are proud to be among the leading corporations in the u.s. in buying renewable energy. we are also a leader in green financing, issuing four green bonds totaling $4 billion in as many years, allowing us to further support and invest in renewable energy to deliver on our goal to be net zero in our operational emissions (scope 1 and 2) by 2035.”",Opportunity,positive
"Key 2030 goals include restoring 30% of degraded ecosystems, reducing the loss of areas of high biodiversity importance to near zero, phasing out subsidies that harm biodiversity by at least $500 billion per year, cutting global food waste in half, and reducing the introduction of invasive alien species by 50%.",Opportunity,positive
"Wwf warned, however, that weak language and the voluntary nature of the agreement could threaten the goals to halt biodiversity loss and preserve ecosystems. noting that the framework “lacks a mandatory ratcheting mechanism that will hold governments accountable to increase action if targets are not met,” lambertini said: 
“we must now see immediate implementation of this agreement, no excuses, no delays – nature and all of us who rely on it for our livelihoods, economies and wellbeing have waited long enough, it’s time for nature to thrive again. governments have chosen the right side of history in montreal, but history will judge all of us if we don’t deliver on the promise made today.”",Risk,negative
"Financing activities typically make up the vast majority of financial institutions’ climate impact, with financed emissions often hundreds of times greater than operational emissions, and accounting for most of their ‘scope 3’ or value chain emissions.",Risk,negative
"Funding for the $9.6 billion plan will come primarily from usps revenues, and will also include $3 billion in congressional funding from the inflation reduction act.",Opportunity,positive
"Earlier this year, the government pledged to deliver the first-ever net-zero emissions transatlantic flight, powered by 100% sustainable aviation fuel by the end of 2023, and outlined a series of initiatives to address barriers to greater saf use, including high fuel production costs, the need for significant investment to scale infrastructure and production, and feedstock availability.",Opportunity,positive
"Biogas is produced from organic waste, such as agricultural, industrial, and household wastes, in anaerobic digesters at waste facilities or landfill sites, and then further processed to produce biomethane/bio-lng. biomethane is chemically identical to fossil-based natural gas, but has substantially lower lifetime greenhouse gas emissions, enabling it to support the decarbonization of hard-to-abate sectors such as road transport and heavy industry, without needing to replace existing transmission and distribution infrastructure.",Opportunity,positive
"According to varo, the acquisition comes amid strong demand growth for biogas, which is expected to increase 3x across europe by 2030.",Opportunity,positive
"Companies joining the fmc’s carbon removal commitment agree to contract for at least 50,000 tons, or at least $25 million of durable and scalable net carbon dioxide removal to be achieved by the end of 2030. criteria for the removals include solutions that can store captured carbon for a minimum of 1,000 years, and solutions that have the potential to scale to at least megaton scale by 2030 and gigaton scale by 2050.",Opportunity,positive
"The new agreement will see the partners join efforts to focus on green hydrogen production in abu dhabi for export to the netherlands through the port of amsterdam, targeting delivery to sectors including sustainable aviation fuel (saf), steelmaking, and bunkering for shipping, as well as to new, emerging european offtakers, via pipeline, truck and barge. several hydrogen transportation methods will be explored, with a focus on liquid organic hydrogen carriers and liquid hydrogen.",Opportunity,positive
"Masdar ceo mohammed jameel al ramahi said: 
“masdar believes green hydrogen to be a promising energy source for hard-to-abate sectors in support of global decarbonization, which is why we launched our dedicated green hydrogen business last month. we are pleased to partner with port of amsterdam, skynrg, evos amsterdam, and zenith energy to leverage our synergies in the fuel and logistics sectors to see how green hydrogen can help us achieve our shared goals for decarbonization and sustainable economic growth.”",Opportunity,positive
European market infrastructure provider euronext announced today the launch of a new index investing in companies with climate goals approved by the science based targets initiative (sbti) as in line with the 1.5°c goal of the paris agreement.,Opportunity,positive
"Founded in 2009 by christoph gebald and jan wurzbacher, climeworks has emerged as the leading dac provider. last year, the company raised nearly $650 million in an equity funding round aimed at scaling its dac capacity. the company has since started construction of “mammoth,” a new 36,000 tonne-capacity dac facility.",Opportunity,positive
"Stacy kauk, head of sustainability at shopify, said: 
“developing a rigorous methodology and sharing it publicly is a critical step to build trust with carbon removal buyers like shopify – it gives us confidence that what we’re paying for is actually happening.”",Opportunity,positive
"Uk bank barclays announced today a new goal to facilitate $ trillion of sustainable and transition financing between 2023 by the end of 2030, marking a significant increase over its current targets of delivering £150bn of social and environmental financing by 2025, and £100bn of green finance by 2030.",Opportunity,positive
"Barclays’ sustainable financing target encompasses green, social, transition and sustainability-linked financing for corporate, government and consumer clients, including the financing of green mortgages, energy efficient technology and renewable energy, and broader social and sustainability work, such as sustainability-linked structures and affordable housing.",Opportunity,positive
"Daniel hanna, barclays global head of sustainable finance for the cib, said: 
“barclays is uniquely positioned to help scale the new climate technologies that will decarbonise industries and create green jobs. many of the technologies that are required to achieve net zero have not yet reached commercial scale. barclays can play a critical role though leveraging our experience as an advisor, bank, and investor through our sustainable impact capital programme to help accelerate their development and adoption.“",Opportunity,positive
"Global banking and financial services company hsbc will no longer provide financing for new oil and gas projects or for new metallurgical coal mines, according to its new energy policy released today, and the bank will require energy sector clients to provide transition plans consistent with its climate targets in order to continue receiving financing.",Opportunity,positive
"The new policy builds on hsbc’s recent climate-related finance announcements, including the introduction earlier this year of financed emissions reduction targets for the oil & gas and power & utilities sectors, and its commitment from december 2021 to phase out financing of coal-fired power and thermal coal mining. in march 2022, hsbc committed to phase down fossil fuel financing and to require clients to provide transition plans, as well as to review and update its financing and investment policies.",Opportunity,positive
"While the policy will see the bank end financing for new oil and gas projects and related infrastructure, the bank said that it will continue to provide financing and advisory services to energy sector clients at the corporate level, if they provide transition plans consistent with hsbc’s 2030 financed emissions and 2050 net zero targets.",Opportunity,positive
"Martin added: 
“however, hsbc’s announcement only applies to asset financing, and doesn’t deal with the much larger proportion of finance it still provides to companies that have oil and gas expansion plans. we expect to see hsbc come forward with new proposals that will address this as soon as possible.”",Risk,negative
"Executive vice-president for the european green deal, frans timmermans, said: 
“emissions trading is the centrepiece of our european green deal – putting a price on carbon. a stronger emissions trading system will help us drive investment into decarbonisation and reduce emissions further and faster, in line with our climate targets.”",Opportunity,positive
"According to the european commission, the revenues from the eu ets are to be spent by member states entirely on climate and energy-related projects as well as on addressing social aspects of the transition.",Opportunity,positive
"The new agreement will see a substantial increase in the eu ets’ ambition, directing emissions reductions in the covered sectors to 62% by 2030 compared to 2005, relative to the prior 43% mandate. the pace of emissions reductions will increase as well, to 4.3% from 2024 – 2027 and 4.4% from 2028 – 2030. in addition, current free allowances under the eu ets will be phased out over the next several years, following the recent agreement to implement a carbon tax on imports (the carbon border adjustment mechanism (cbam)), enabling the tax to comply with wto rules.",Opportunity,positive
"The agreement also brings emissions trading to new sectors, with the eu ets expanding to cover shipping emissions from the maritime sector, and the establishment of a separate emissions trading system for the buildings and road transport and some other industrial sectors beginning in 2027.",Opportunity,positive
"Alongside the eu ets deal, the agreement also includes the creation of a new social climate fund, financed by €65 billion from the eu budget, plus 25% co-financing by member states, aimed at providing financial support to vulnerable households and micro-enterprises to cope with the price impacts of an ets for the buildings and road transport and fuels sectors. the fund will provide investments in energy efficiency measures such as home insulation, heat pumps, solar panels, and electric mobility, as well as providing direct income.",Opportunity,positive
"Additional programs announced today include the direct air capture commercial and pre-commercial prize, awarding $115 million to qualified direct air capture facilities and to incubate and accelerate research and development of breakthrough direct air capture technologies, carbon utilization procurement grants of up to $100 million to states, local governments, and public utilities to support the commercialization of technologies that reduce carbon emissions and using products developed from captured carbon emissions, and anticipated awards of $15 million for measurement, reporting, and verification-focused technologies for carbon removal solutions.",Opportunity,positive
"The aviation industry has come under scrutiny as a significant source of greenhouse gas (ghg) emissions, responsible for 2-3% of global emissions, with that figure potentially rising dramatically over the coming decades if no action is taken. initiatives being pursued to address the climate impact of the industry typically involve efforts to improve aircraft efficiency, develop sustainable aviation fuels, or create aircraft utilizing low or zero carbon propulsion systems such as electric or hydrogen-based, although many of these are at early stages of development.",Risk,negative
"Delta was one of the first major airlines to launch a goal to achieve carbon neutrality. in 2020 the company committed to invest $1 billion towards funding efforts to advance clean air technologies, reduce carbon emissions and waste, and establish new projects to mitigate the balance of emissions.",Opportunity,positive
"To support its 2050 goals, the company said that the new lab will focus both on internal innovation  connecting, aligning and showcasing initiatives from its flight operations, technical operations, inflight services, operations & customer center and fleet, as well as on partnerships, such as a recent hydrogen-powered aviation-focused collaboration launched with airbus.",Opportunity,positive
"Computer software company mathworks announced today that it will be able to address 100% of its scope 2 emissions – those resulting from purchased electricity, heat and cooling – with wind power, from a newly signed 12-year agreement with enel north america.",Opportunity,positive
"The launch of the fund marks an expansion of tpg’s impact investing platform, which also includes the rise fund, investing in companies driving measurable social and environmental impact, and its climate solutions-focused fund tpg rise climate. tpg rise climate recently announced its final closing, raising more than $7 billion from institutional investors and global corporations.",Opportunity,positive
"Pamela pavkov, partner and head of tpg next, said: 
“tpg next seeks to address the talent gap through a suite of capital solutions and value-add support that is designed to address frequent pain points of new firms in a comprehensive way. our aim is that this fund will not only advance diverse-led firms but also the diverse communities that these managers are connected to, bringing our industry more in line with demographic trends while also providing unique access to differentiated investment opportunities.”",Opportunity,positive
"In addition to anchoring the fund, calpers will also partner with tpg  to create additional insights, resources, and networking opportunities for the investor entrepreneurs, and the organizations will also develop tools to provide operational and managerial expertise for the investors, as well as hosting gatherings to convene gps and lps seeking to diversify the alternative asset management ecosystem.",Opportunity,positive
"The capital raise follows a $400 million capital raise in xpansive last year, led by alternative asset manager blackstone. new strategic investors participating in the financing included bank of america and goldman sachs.",Opportunity,positive
"Jim demare, president of global markets at bank of america, said: 
“sustainability is part of discussions in boardrooms and with investors. robust technology, reliable data, and accessible spot markets are crucial to promote liquidity and scale growth in voluntary carbon trading and environmental commodities. bank of america supports innovation in these evolving markets.”",Opportunity,positive
"Xpansiv provides infrastructure enabling market participants to value and exchange environmental commodities such as carbon, energy and water, and provides market data for voluntary carbon offsets, renewable energy credits (recs), and low-carbon fuels. the company’s business units include esg commodities spot exchange cbl, australia-based water spot exchange h2ox, market data provider xsignals, and esg-inclusive commodities multi-registry portfolio management system ema.",Opportunity,positive
"Alongside the capital raise, xpansiv also announced the closing of its acquisition of environmental markets transaction and advisory services provider evolution markets. according to xpansiv, the transaction will expand its service offerings and product development capabilities, and enhance evolution markets’ services to its global client base of 2,000 customers, including many of the world’s largest energy firms, companies, utilities, and financial institutions.",Opportunity,positive
